Producto_Detalles_Vistos,Cantidad_Actividades_Sesión,Cantidad_Artículos_En_Carro,Cantidad_Artículos_Eliminados_Carro,Cantidad_Visitas_Carro,Confirmaciones_Compra,Inicios_Pago,Vistas_Productos_Carro,Inicios_Sesión_Cliente,Vistas_Páginas,Segmento_Cliente,Abandono_Carro
No,7,3,0,0,0,1,1,0,2,Cliente Leal,Si
No,29,4,0,1,1,1,1,0,10,Cliente Leal,No
No,10,3,0,4,0,1,0,0,2,Cliente Leal,Si
Si,8,3,2,0,0,0,0,0,1,Cliente No Segmentado,Si
No,8,0,0,3,0,0,2,0,3,Cliente Objetivo,Si
No,31,7,2,0,0,2,9,0,5,Cliente No Segmentado,Si
Si,8,4,0,1,0,0,0,0,2,Cliente Leal,Si
No,18,3,2,3,1,1,3,1,3,Cliente No Segmentado,No
No,6,1,0,0,0,1,1,1,2,Cliente Objetivo,Si
No,14,3,4,0,1,1,1,1,2,Cliente No Segmentado,No
No,17,2,0,1,0,0,5,0,0,Cliente Objetivo,Si
Si,6,2,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,23,9,2,4,0,0,2,0,5,Cliente No Segmentado,Si
No,9,2,0,1,0,0,3,0,1,Cliente Objetivo,Si
No,13,3,2,3,0,1,1,0,3,Cliente No Segmentado,Si
No,42,8,2,5,1,1,3,1,14,Cliente No Segmentado,No
Si,5,2,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,10,0,0,1,1,2,1,0,3,Cliente Objetivo,No
No,3,0,0,2,0,0,0,0,1,Cliente Objetivo,Si
Si,3,1,0,0,0,0,2,0,0,Cliente Objetivo,Si
No,23,3,1,5,0,0,5,0,6,Cliente Leal,Si
No,46,0,0,3,0,1,1,0,9,Cliente Objetivo,Si
No,53,0,0,7,1,14,31,0,0,Cliente Objetivo,No
No,36,3,0,14,0,7,10,0,2,Cliente Leal,Si
No,8,2,0,0,0,1,2,0,3,Cliente Objetivo,Si
No,5,0,0,2,0,0,3,0,0,Cliente Objetivo,Si
Si,9,4,0,3,0,0,1,0,0,Cliente Leal,Si
Si,32,11,0,3,0,1,5,0,11,Cliente Leal,Si
Si,4,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,17,6,1,3,1,1,2,1,2,Cliente Leal,No
Si,4,1,2,0,0,0,0,0,0,Cliente Objetivo,Si
Si,36,5,0,7,0,3,20,0,1,Cliente Leal,Si
No,2,0,0,2,0,0,0,0,0,Cliente Objetivo,Si
Si,7,1,4,1,0,0,0,0,1,Cliente No Segmentado,Si
No,22,3,2,8,0,1,2,0,6,Cliente No Segmentado,Si
Si,5,1,2,1,0,0,0,0,1,Cliente Objetivo,Si
No,2,0,0,1,0,0,0,0,1,Cliente Objetivo,Si
Si,13,1,0,0,0,1,0,0,2,Cliente Objetivo,Si
No,5,0,0,1,0,0,1,0,1,Cliente Objetivo,Si
Si,8,2,0,2,0,1,1,0,2,Cliente Objetivo,Si
No,5,1,0,0,0,0,2,0,1,Cliente Objetivo,Si
No,94,8,2,3,1,2,1,1,5,Cliente No Segmentado,No
No,7,0,0,0,1,2,0,1,3,Cliente Objetivo,No
No,6,3,1,0,0,0,0,0,0,Cliente Leal,Si
Si,3,1,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,13,6,0,2,0,1,3,0,1,Cliente Leal,Si
No,15,5,1,1,1,1,3,1,2,Cliente Leal,Si
No,10,4,0,0,1,1,1,1,1,Cliente Leal,No
No,5,0,0,0,0,1,0,1,3,Cliente Objetivo,Si
No,10,2,0,2,0,2,4,0,0,Cliente Objetivo,Si
Si,4,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,25,2,0,1,0,1,20,0,0,Cliente Objetivo,Si
Si,20,7,2,0,0,0,7,0,3,Cliente No Segmentado,Si
No,7,1,0,1,0,0,5,0,0,Cliente Objetivo,Si
No,21,9,0,8,0,0,3,0,1,Cliente Leal,Si
No,14,2,0,6,1,2,0,0,3,Cliente Objetivo,No
Si,32,10,9,2,0,0,1,0,6,Cliente No Segmentado,Si
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
Si,17,0,0,1,0,0,1,0,2,Cliente Objetivo,Si
No,15,3,3,1,0,0,2,0,4,Cliente No Segmentado,Si
No,10,6,0,0,0,1,1,0,2,Cliente Leal,Si
No,18,4,0,2,1,1,4,0,1,Cliente Leal,No
No,21,0,0,3,0,1,1,0,5,Cliente Objetivo,Si
No,9,3,0,2,0,1,1,0,2,Cliente Leal,Si
No,11,0,0,2,2,5,2,0,0,Cliente Objetivo,No
No,6,0,0,3,0,1,0,0,2,Cliente Objetivo,Si
No,7,3,0,0,0,1,1,0,2,Cliente Leal,Si
No,4,0,0,1,0,3,0,0,0,Cliente Objetivo,Si
No,9,3,1,1,0,1,1,0,2,Cliente Leal,Si
Si,5,1,0,0,0,0,2,0,1,Cliente Objetivo,Si
No,34,9,10,7,0,0,3,0,4,Cliente No Segmentado,Si
No,10,4,1,1,0,1,1,0,2,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,12,4,0,1,0,0,3,0,1,Cliente Leal,Si
No,23,2,4,3,1,3,1,0,9,Cliente No Segmentado,No
Si,7,1,0,0,0,0,2,0,1,Cliente Objetivo,Si
Si,2,0,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
Si,7,3,0,1,0,1,0,0,2,Cliente Leal,Si
No,31,10,13,2,0,1,1,1,2,Cliente No Segmentado,Si
No,10,3,0,1,0,1,2,0,2,Cliente Leal,Si
No,8,1,1,2,0,1,0,1,2,Cliente Objetivo,Si
No,7,0,0,0,0,0,1,0,3,Cliente Objetivo,Si
No,3,0,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,10,2,0,0,0,1,1,0,0,Cliente Objetivo,Si
No,10,4,0,1,0,1,2,0,1,Cliente Leal,Si
Si,11,3,0,1,0,1,2,0,3,Cliente Leal,Si
No,13,8,0,1,0,1,1,0,2,Cliente Leal,Si
Si,15,6,0,0,0,0,0,0,9,Cliente Leal,Si
No,11,0,0,0,1,1,1,0,1,Cliente Objetivo,No
Si,9,4,0,0,0,0,1,0,1,Cliente Leal,Si
No,15,2,0,1,1,1,2,0,7,Cliente Objetivo,No
No,55,0,0,29,0,3,14,0,0,Cliente Objetivo,Si
No,7,0,0,2,0,1,2,0,2,Cliente Objetivo,Si
No,6,0,0,2,0,1,2,0,1,Cliente Objetivo,Si
No,14,1,0,2,0,1,1,0,3,Cliente Objetivo,Si
No,12,6,0,0,1,1,1,1,1,Cliente Leal,Si
No,23,2,3,4,0,4,1,1,8,Cliente No Segmentado,Si
Si,8,5,0,1,0,0,1,0,1,Cliente Leal,Si
No,14,3,1,5,0,2,0,0,3,Cliente Leal,Si
No,15,10,0,1,0,0,1,0,2,Cliente Leal,Si
No,13,1,0,0,0,2,4,1,5,Cliente Objetivo,Si
No,7,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,4,1,0,1,0,1,1,0,0,Cliente Objetivo,Si
Si,6,2,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,1,1,0,0,0,3,0,0,3,Cliente Objetivo,Si
No,5,1,0,1,0,2,1,0,0,Cliente Objetivo,Si
No,21,6,0,3,0,0,10,0,0,Cliente Leal,Si
Si,4,2,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,5,0,0,1,0,1,2,0,1,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,9,1,0,0,0,1,5,0,0,Cliente Objetivo,Si
No,1,0,0,0,0,0,3,0,6,Cliente Objetivo,Si
No,7,2,0,1,0,1,1,1,1,Cliente Objetivo,Si
No,8,4,0,0,0,1,1,0,2,Cliente Leal,Si
Si,18,6,0,2,0,0,1,0,7,Cliente Leal,Si
No,16,0,0,5,0,0,10,0,0,Cliente Objetivo,Si
No,18,0,0,3,0,1,2,0,3,Cliente Objetivo,Si
No,2,0,0,0,0,1,1,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,30,4,0,4,0,3,2,1,15,Cliente Leal,Si
Si,9,2,0,0,0,3,3,0,1,Cliente Objetivo,Si
Si,3,1,0,1,0,0,0,0,1,Cliente Objetivo,Si
No,52,0,0,4,0,1,8,0,11,Cliente Objetivo,Si
No,5,1,0,0,0,1,0,0,3,Cliente Objetivo,Si
No,23,10,0,1,0,1,2,0,9,Cliente Leal,Si
No,8,1,0,0,1,2,3,0,1,Cliente Objetivo,No
No,108,3,0,1,1,1,2,0,4,Cliente Leal,No
Si,4,2,1,0,0,0,0,0,0,Cliente Objetivo,Si
Si,14,4,0,1,0,0,2,0,7,Cliente Leal,Si
No,10,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,36,3,0,0,1,1,0,1,1,Cliente Leal,No
Si,10,2,3,0,1,1,0,0,3,Cliente No Segmentado,No
No,10,1,0,1,1,2,1,1,2,Cliente Objetivo,No
No,10,2,0,2,0,2,1,0,3,Cliente Objetivo,Si
Si,21,4,0,3,0,2,2,1,3,Cliente Leal,Si
No,21,0,0,0,1,2,1,0,3,Cliente Objetivo,No
Si,8,3,0,1,0,0,4,0,0,Cliente Leal,Si
No,13,1,0,1,2,2,5,0,1,Cliente Objetivo,No
No,6,3,0,1,0,0,2,0,0,Cliente Leal,Si
No,9,5,0,1,0,0,1,0,1,Cliente Leal,Si
No,5,1,0,1,0,0,1,0,1,Cliente Objetivo,Si
No,23,4,4,1,0,0,1,0,7,Cliente No Segmentado,Si
No,41,10,1,4,0,1,3,1,12,Cliente Leal,Si
No,12,0,0,4,0,1,2,0,0,Cliente Objetivo,Si
No,7,0,0,2,0,1,2,0,1,Cliente Objetivo,Si
No,12,8,0,0,0,1,1,0,2,Cliente Leal,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
Si,18,8,0,1,0,1,3,0,0,Cliente Leal,Si
Si,16,9,0,0,0,0,1,0,4,Cliente Leal,Si
Si,4,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,57,5,40,1,1,1,2,1,1,Cliente No Segmentado,No
No,15,0,0,1,0,1,1,0,3,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,10,0,0,9,0,0,0,0,1,Cliente Objetivo,Si
No,8,3,0,1,0,1,1,0,2,Cliente Leal,Si
Si,7,3,0,1,0,0,0,0,3,Cliente Leal,Si
No,12,3,0,3,2,1,3,0,0,Cliente Leal,No
Si,38,3,32,1,0,0,1,0,1,Cliente No Segmentado,Si
No,7,1,0,0,0,0,1,0,3,Cliente Objetivo,Si
No,15,4,0,1,1,1,1,1,1,Cliente Leal,Si
Si,9,5,0,1,0,0,1,0,1,Cliente Leal,Si
No,23,1,1,1,0,0,10,0,10,Cliente Objetivo,Si
Si,6,2,0,0,0,0,2,0,2,Cliente Objetivo,Si
Si,11,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,16,4,1,1,0,4,0,0,6,Cliente Leal,Si
No,22,3,3,7,1,3,1,1,3,Cliente No Segmentado,No
No,6,0,0,1,0,2,3,0,0,Cliente Objetivo,Si
Si,15,6,2,0,0,1,2,0,3,Cliente No Segmentado,Si
No,29,10,4,1,0,1,2,1,8,Cliente No Segmentado,Si
No,10,1,2,1,1,2,0,1,2,Cliente Objetivo,No
Si,14,5,0,1,0,0,3,0,1,Cliente Leal,Si
No,6,1,0,0,0,1,2,0,1,Cliente Objetivo,Si
No,28,0,0,3,0,2,1,0,7,Cliente Objetivo,Si
Si,17,7,2,2,0,1,2,0,2,Cliente No Segmentado,Si
Si,15,5,0,1,0,0,8,0,0,Cliente Leal,Si
No,7,1,0,1,0,0,4,0,1,Cliente Objetivo,Si
No,15,2,0,0,1,3,1,1,5,Cliente Objetivo,No
No,9,3,0,1,0,1,1,1,2,Cliente Leal,Si
Si,25,11,0,0,0,1,4,0,3,Cliente Leal,Si
No,5,1,0,0,0,1,2,0,1,Cliente Objetivo,Si
Si,6,1,2,2,0,0,0,0,1,Cliente Objetivo,Si
Si,8,1,0,0,0,0,2,0,2,Cliente Objetivo,Si
No,11,1,0,0,0,2,6,0,2,Cliente Objetivo,Si
No,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,9,0,0,3,1,2,0,0,3,Cliente Objetivo,No
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,32,5,1,6,2,4,2,0,12,Cliente Leal,No
No,12,5,0,1,1,1,1,1,1,Cliente Leal,No
No,16,6,0,0,0,3,2,1,1,Cliente Leal,Si
Si,9,1,0,1,0,1,2,0,3,Cliente Objetivo,Si
Si,16,1,0,1,0,0,4,0,9,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,11,6,0,1,0,1,1,0,2,Cliente Leal,Si
No,23,7,3,2,0,0,0,0,0,Cliente No Segmentado,Si
No,8,0,0,0,0,2,2,0,2,Cliente Objetivo,Si
Si,7,2,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,3,0,0,0,0,1,0,0,2,Cliente Objetivo,Si
Si,4,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,43,7,0,1,0,0,3,0,5,Cliente Leal,Si
No,9,3,0,2,0,1,1,0,1,Cliente Leal,Si
No,7,1,1,2,0,1,0,0,2,Cliente Objetivo,Si
Si,30,10,0,2,0,0,12,0,2,Cliente Leal,Si
No,12,4,0,0,0,0,1,0,5,Cliente Leal,Si
Si,40,11,0,3,0,2,4,0,9,Cliente Leal,Si
Si,9,2,0,0,0,0,1,0,4,Cliente Objetivo,Si
No,4,0,0,3,0,0,1,0,0,Cliente Objetivo,Si
No,26,2,4,7,0,1,2,0,3,Cliente No Segmentado,Si
No,7,2,0,0,1,1,1,1,1,Cliente Objetivo,No
No,9,7,0,0,0,1,1,0,0,Cliente Leal,Si
No,5,1,0,0,0,0,2,0,2,Cliente Objetivo,Si
No,8,3,0,0,0,1,1,1,1,Cliente Leal,Si
No,9,4,0,2,0,0,1,0,2,Cliente Leal,Si
No,23,3,3,5,0,4,1,2,4,Cliente No Segmentado,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,20,9,0,3,0,1,1,0,6,Cliente Leal,Si
No,11,1,0,2,2,1,0,1,3,Cliente Objetivo,Si
No,14,0,0,3,1,1,2,0,0,Cliente Objetivo,No
No,21,2,4,4,0,0,3,0,4,Cliente No Segmentado,Si
Si,15,4,0,6,0,1,4,0,0,Cliente Leal,Si
No,9,3,0,2,0,1,1,0,2,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,5,0,0,2,0,1,1,0,1,Cliente Objetivo,Si
Si,15,4,0,9,0,1,0,0,1,Cliente Leal,Si
Si,8,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
Si,13,1,0,0,0,0,1,0,5,Cliente Objetivo,Si
No,31,0,0,3,0,1,3,0,10,Cliente Objetivo,Si
Si,9,3,0,1,1,2,2,0,0,Cliente Leal,No
No,9,0,0,2,0,1,2,0,1,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,13,4,0,0,0,0,1,0,4,Cliente Leal,Si
No,10,1,0,1,0,1,7,0,0,Cliente Objetivo,Si
No,13,2,0,0,2,1,2,1,3,Cliente Objetivo,No
Si,32,7,10,1,0,0,1,0,10,Cliente No Segmentado,Si
No,16,1,1,2,0,0,5,0,5,Cliente Objetivo,Si
No,13,7,0,1,0,1,3,0,1,Cliente Leal,Si
No,13,4,0,2,0,1,3,0,0,Cliente Leal,Si
No,14,8,0,1,1,1,1,1,1,Cliente Leal,No
No,14,7,0,1,0,1,4,0,1,Cliente Leal,Si
No,5,0,0,1,0,1,2,0,1,Cliente Objetivo,Si
No,20,8,0,1,0,1,3,0,3,Cliente Leal,Si
Si,10,1,0,1,0,0,3,0,1,Cliente Objetivo,Si
No,4,0,0,1,0,2,1,0,0,Cliente Objetivo,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,12,5,0,1,0,0,2,0,4,Cliente Leal,Si
Si,21,6,5,2,0,0,1,0,6,Cliente No Segmentado,Si
No,31,9,0,3,1,1,6,1,2,Cliente Leal,No
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,8,4,0,0,0,1,1,0,2,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,13,7,2,1,0,0,1,0,2,Cliente No Segmentado,Si
No,33,0,0,1,1,1,0,0,1,Cliente Objetivo,No
No,11,6,0,1,0,1,1,0,2,Cliente Leal,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,6,2,0,0,0,0,2,0,2,Cliente Objetivo,Si
No,17,9,0,0,1,1,3,1,2,Cliente Leal,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,8,0,0,1,0,0,2,0,4,Cliente Objetivo,Si
No,32,5,9,2,0,1,4,0,6,Cliente No Segmentado,Si
No,38,0,0,14,8,8,5,0,3,Cliente Objetivo,No
No,3,0,0,0,1,1,0,1,0,Cliente Objetivo,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,13,8,0,1,0,1,1,0,2,Cliente Leal,Si
No,7,4,0,0,0,1,1,0,1,Cliente Leal,Si
Si,2,1,0,0,0,0,0,0,0,Cliente Objetivo,Si
No,9,5,0,0,0,1,1,0,2,Cliente Leal,Si
No,26,3,6,5,0,5,1,0,6,Cliente No Segmentado,Si
No,7,3,0,0,1,1,1,1,0,Cliente Leal,Si
No,13,1,0,3,1,2,1,1,4,Cliente Objetivo,No
No,9,1,0,1,0,1,1,0,4,Cliente Objetivo,Si
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,13,2,0,0,2,3,2,0,4,Cliente Objetivo,No
No,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,19,4,1,3,1,3,1,1,3,Cliente Leal,No
Si,12,0,0,0,0,0,0,0,2,Cliente Objetivo,Si
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,12,8,0,0,0,1,1,0,2,Cliente Leal,Si
No,14,7,0,2,0,0,2,0,1,Cliente Leal,Si
Si,6,0,1,1,0,1,0,0,3,Cliente Objetivo,Si
No,12,4,0,3,0,1,2,0,2,Cliente Leal,Si
No,11,5,0,1,0,1,3,0,1,Cliente Leal,Si
No,5,0,0,2,0,0,2,0,1,Cliente Objetivo,Si
No,50,10,33,1,0,2,0,0,4,Cliente No Segmentado,Si
No,11,6,0,1,0,1,1,0,1,Cliente Leal,Si
No,4,0,0,0,1,1,1,1,0,Cliente Objetivo,No
No,2,0,0,1,0,0,0,0,1,Cliente Objetivo,Si
No,7,1,0,2,1,1,0,0,2,Cliente Objetivo,No
Si,22,10,0,3,0,0,6,0,0,Cliente Leal,Si
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,13,7,0,0,0,1,3,1,1,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,15,0,0,1,0,0,3,0,1,Cliente Objetivo,Si
Si,8,2,0,0,0,0,1,0,5,Cliente Objetivo,Si
Si,13,5,2,2,0,1,1,0,2,Cliente No Segmentado,Si
Si,13,6,0,0,0,1,1,0,3,Cliente Leal,Si
No,15,0,0,6,0,0,9,0,0,Cliente Objetivo,Si
No,10,4,0,1,0,1,1,0,3,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,11,6,0,1,0,0,2,0,1,Cliente Leal,Si
No,18,4,2,3,0,2,1,1,3,Cliente No Segmentado,Si
No,12,3,0,0,1,1,1,1,4,Cliente Leal,No
No,10,1,0,1,0,2,0,1,3,Cliente Objetivo,Si
Si,2,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,8,3,0,1,0,1,2,0,1,Cliente Leal,Si
No,14,1,0,4,1,3,0,0,5,Cliente Objetivo,No
Si,6,2,0,0,0,0,2,0,0,Cliente Objetivo,Si
No,8,2,0,1,1,1,0,1,1,Cliente Objetivo,No
Si,8,2,2,1,0,1,0,0,2,Cliente No Segmentado,Si
No,8,5,0,1,0,0,1,0,1,Cliente Leal,Si
No,24,0,0,1,1,2,6,0,4,Cliente Objetivo,No
No,11,4,0,0,1,1,2,1,1,Cliente Leal,No
No,2,0,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,10,0,0,2,0,0,1,0,1,Cliente Objetivo,Si
No,12,5,1,0,1,1,1,1,1,Cliente Leal,No
No,5,1,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,10,0,0,2,0,1,1,0,2,Cliente Objetivo,Si
No,16,11,0,0,0,1,1,0,3,Cliente Leal,Si
No,8,0,0,0,0,1,2,0,2,Cliente Objetivo,Si
Si,6,2,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,7,2,0,0,0,0,2,0,1,Cliente Objetivo,Si
No,11,3,0,2,0,0,1,0,3,Cliente Leal,Si
No,6,0,0,3,0,2,1,0,0,Cliente Objetivo,Si
No,4,0,0,1,0,2,1,0,0,Cliente Objetivo,Si
No,15,2,0,1,0,1,3,1,3,Cliente Objetivo,Si
No,29,7,0,6,0,0,2,0,9,Cliente Leal,Si
No,12,5,0,2,0,0,1,0,2,Cliente Leal,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,11,3,0,0,0,0,2,0,2,Cliente Leal,Si
No,28,7,2,1,0,1,5,0,7,Cliente No Segmentado,Si
No,8,2,0,1,1,1,1,1,0,Cliente Objetivo,Si
No,7,0,0,4,0,0,0,0,1,Cliente Objetivo,Si
Si,9,1,2,0,0,2,0,0,4,Cliente Objetivo,Si
No,45,8,0,4,1,3,11,0,1,Cliente Leal,No
No,14,0,0,4,0,2,0,0,8,Cliente Objetivo,Si
No,14,1,9,1,0,1,0,0,2,Cliente No Segmentado,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,42,11,1,2,1,2,8,0,15,Cliente Leal,No
No,5,0,0,1,0,0,3,0,0,Cliente Objetivo,Si
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,6,1,0,1,0,1,0,0,3,Cliente Objetivo,Si
No,4,1,0,0,0,0,2,0,1,Cliente Objetivo,Si
Si,40,0,0,1,0,0,5,0,13,Cliente Objetivo,Si
No,6,0,0,1,0,1,1,0,3,Cliente Objetivo,Si
Si,25,3,4,1,0,0,4,0,8,Cliente No Segmentado,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
Si,10,4,0,1,0,0,1,0,4,Cliente Leal,Si
No,10,0,0,0,1,1,2,0,1,Cliente Objetivo,No
Si,11,6,1,1,0,0,2,0,0,Cliente Leal,Si
No,1,4,0,1,0,2,3,0,1,Cliente Leal,Si
